cit. average,size,volatility,relative volatility,JCR Abbreviated Title,citations of top-cited paper
240.094,53,68.26741655,0.397303376,CA-CANCER J CLIN,3790
21.626,171,15.80220158,2.713509363,J STAT SOFTW,2708
18.667,6,13.66666667,2.733333333,LIVING REV RELATIV,87
15.818,11,8.118181818,1.054309327,PSYCHOL INQ,97
8.615,351,7.115384615,4.743589744,ACTA CRYSTALLOGR C,2499
21.824,34,5.67201426,0.351175367,ANNU REV CONDEN MA P,209
7.623,114,5.569709672,2.712832728,ACTA CRYSTALLOGR A,637
30.417,12,4.962121212,0.194940476,ADV PHYS,85
19.714,7,4.880952381,0.32905297,PSYCHOL SCI PUBL INT,49
6.296,169,4.188715131,1.987864808,ACTA CRYSTALLOGR B,710
42.239,92,4.151218347,0.108990441,NAT ENERGY,420
9.029,170,3.828228333,0.736030248,INT J COMPUT VISION,656
45.549,51,3.649019608,0.087088773,NAT REV MATER,228
9.732,530,3.533587759,0.57007256,MOL BIOL EVOL,1879
5.000,15,3.428571429,2.181818182,EPILEPSY CURR,53
10.750,12,3.295454545,0.442073171,LIVING REV SOL PHYS,47
5.138,160,3.269575472,1.750378788,PURE APPL CHEM,525
9.250,16,3.183333333,0.524725275,PROG SOLID STATE CH,57
10.600,15,3.171428571,0.426923077,PROG QUANT ELECTRON,55
20.786,28,3.156084656,0.179021609,ADV OPT PHOTONICS,106
3.833,6,3.033333333,3.791666667,SOLID STATE PHYS,19
9.100,271,2.995927293,0.490837603,GENET MED,818
9.857,28,2.931216931,0.423223835,IEEE IND ELECTRON M,89
22.622,82,2.930593195,0.148826363,MATER TODAY,260
14.839,218,2.927007145,0.245710078,ACTA NEUROPATHOL,650
4.977,87,2.814220797,1.301198863,J METEOROL SOC JPN,247
5.273,11,2.672727273,1.027972028,PROG OPTICS,32
5.128,39,2.575573549,1.008987576,J BIOL ENG,103
14.100,40,2.561538462,0.222,ANNU REV NEUROSCI,114
14.705,44,2.518498943,0.206670715,ENDOCR REV,123
20.493,67,2.477385798,0.137516789,CLIN MICROBIOL REV,184
6.266,64,2.376736111,0.611160714,J HUM RESOUR,156
6.750,16,2.35,0.534090909,IND ORGAN PSYCHOL-US,42
6.000,4,2.333333333,0.636363636,ADV CATAL,13
6.713,101,2.332871287,0.532619015,GIGASCIENCE,240
7.571,84,2.294320138,0.434768428,J ACAD MARKET SCI,198
2.895,477,2.252321054,3.503610529,CHINESE PHYS C,1075
7.103,350,2.248988948,0.463339518,THYROID,792
7.197,1224,2.239413822,0.451724081,INT J CANCER,2746
11.923,274,2.205408946,0.226941818,NAT PROTOC,614
7.000,11,2.1,0.428571429,ALDRICHIM ACTA,28
35.566,410,1.993726519,0.059386363,JAMA-J AM MED ASSOC,851
35.823,79,1.989451477,0.058801521,REV MOD PHYS,191
17.700,20,1.963157895,0.124749164,SURF SCI REP,55
40.168,101,1.948316832,0.050976369,NAT REV GENET,235
24.206,34,1.93315508,0.086794718,ANNU REV ASTRON ASTR,88
9.487,310,1.93046247,0.255465911,AUTOPHAGY,606
3.250,4,1.916666667,1.4375,GEOCHEM PERSPECT,9
7.161,298,1.908548573,0.363358286,EUR HEART J-CARD IMG,574
5.435,46,1.901449275,0.538146021,MOBILE DNA-UK,91
41.141,78,1.816350316,0.046188565,NAT REV DRUG DISCOV,181
